1,ACC LIMITED,ACC
2,ADANI ENTERPRISES LIMITED,ADANIENT
3,ADANI PORT & SEZ LTD,ADANIPORTS
4,ADANI POWER LTD,ADANIPOWER
5,AJANTA PHARMA LIMITED,AJANTPHARM
6,ALLAHABAD BANK,ALBK
7,AMARA RAJA BATTERIES LTD.,AMARAJABAT
8,AMBUJA CEMENTS LTD,AMBUJACEM
9,ANDHRA BANK,ANDHRABANK
10,APOLLO HOSPITALS ENTER. L,APOLLOHOSP
11,APOLLO TYRES LTD,APOLLOTYRE
12,ARVIND LIMITED,ARVIND
13,ASHOK LEYLAND LTD,ASHOKLEY
14,ASIAN PAINTS LIMITED,ASIANPAINT
15,AUROBINDO PHARMA LTD,AUROPHARMA
16,AXIS BANK LIMITED,AXISBANK
17,BAJAJ AUTO LIMITED,BAJAJ-AUTO
18,BAJAJ FINANCE LIMITED,BAJFINANCE
19,BAJAJ FINSERV LIMITED,BAJAJFINSV
20,BALKRISHNA INDUSTRIES LIMITED,BALKRISIND
21,BALRAMPUR CHINI MILLS LIMITED,BALRAMCHIN
22,BANK OF BARODA,BANKBARODA
23,BANK OF INDIA,BANKINDIA
24,BATA INDIA LTD,BATAINDIA
25,BEML LIMITED,BEML
26,BERGER PAINTS (I) LIMITED,BERGEPAINT
27,BHARAT ELECTRONICS LTD,BEL
28,BHARAT FIN INCLUSION LTD,BHARATFIN
29,BHARAT FORGE LTD,BHARATFORG
30,BHARAT PETROLEUM CORP LT,BPCL
31,BHARTI AIRTEL LIMITED,BHARTIARTL
32,BHARTI INFRATEL LTD.,INFRATEL
33,BHEL,BHEL
34,BIOCON LIMITED.,BIOCON
35,BOSCH LIMITED,BOSCHLTD
36,BRITANNIA INDUSTRIES LTD,BRITANNIA
37,CADILA HEALTHCARE LIMITED,CADILAHC
38,CAN FIN HOMES LIMITED,CANFINHOME
39,CANARA BANK,CANBK
40,CAPITAL FIRST LIMITED,CAPF
41,CASTROL INDIA LIMITED,CASTROLIND
42,CEAT LIMITED,CEATLTD
43,CENTURY TEXTILES LTD,CENTURYTEX
44,CESC LTD,CESC
45,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CGPOWER
46,CHENNAI PETROLEUM CORPORATION LIMITED,CHENNPETRO
47,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,CHOLAFIN
48,CIPLA LTD,CIPLA
49,COAL INDIA LTD,COALINDIA
50,COLGATE PALMOLIVE LTD.,COLPAL
51,CONTAINER CORP OF IND LTD,CONCOR
52,CUMMINS INDIA LTD,CUMMINSIND
53,DABUR INDIA LTD,DABUR
54,DALMIA BHARAT LIMITED,DALMIABHA
55,DCB BANK LIMITED,DCBBANK
56,DEWAN HOUSING FIN CORP LT,DHFL
57,DISH TV INDIA LTD.,DISHTV
58,DIVI'S LABORATORIES LTD,DIVISLAB
59,DLF LIMITED,DLF
60,DR. REDDY'S LABORATORIES,DRREDDY
61,EICHER MOTORS LTD,EICHERMOT
62,ENGINEERS INDIA LTD,ENGINERSIN
63,EQUITAS HOLDINGS LIMITED,EQUITAS
64,ESCORTS LIMITED,ESCORTS
65,EXIDE INDUSTRIES LTD,EXIDEIND
66,FEDERAL BANK LTD,FEDERALBNK
67,GAIL (INDIA) LTD,GAIL
68,GLENMARK PHARMACEUTICALS,GLENMARK
69,GMR INFRASTRUCTURE LTD.,GMRINFRA
70,GODFREY PHILLIPS INDIA LIMITED,GODFRYPHLP
71,GODREJ CONSUMER PRODUCTS,GODREJCP
72,GODREJ INDUSTRIES LTD,GODREJIND
73,GRANULES INDIA LIMITED,GRANULES
74,GRASIM INDUSTRIES LTD,GRASIM
75,GUJARAT STATE FERTILIZERS & CHEMICALS LIMITED,GSFC
76,HAVELLS INDIA LIMITED,HAVELLS
77,HCL TECHNOLOGIES LTD,HCLTECH
78,HDFC BANK LTD,HDFCBANK
79,HDFC LTD,HDFC
80,HERO MOTOCORP LIMITED,HEROMOTOCO
81,HEXAWARE TECHNOLOGIES LTD,HEXAWARE
82,HINDALCO INDUSTRIES LTD,HINDALCO
83,HINDUSTAN CONSTRUCTION COMPANY LIMITED,HCC
84,HINDUSTAN PETROLEUM CORP,HINDPETRO
85,HINDUSTAN UNILEVER LTD.,HINDUNILVR
86,HINDUSTAN ZINC LIMITED,HINDZINC
87,ICICI BANK LTD.,ICICIBANK
88,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,ICICIPRULI
89,IDBI BANK LIMITED,IDBI
90,IDEA CELLULAR LIMITED,IDEA
91,IDFC BANK LIMITED,IDFCBANK
92,IDFC LIMITED,IDFC
93,IFCI LTD,IFCI
94,INDIABULLS HSG FIN LTD,IBULHSGFIN
95,INDIAN BANK,INDIANB
96,INDIAN OIL CORP LTD,IOC
97,INDRAPRASTHA GAS LTD,IGL
98,INDUSIND BANK LIMITED,INDUSINDBK
99,INFIBEAM INCORPORATION LIMITED,INFIBEAM
100,INFOSYS LIMITED,INFY
101,INTERGLOBE AVIATION LIMITED,INDIGO
102,IRB INFRA DEV LTD.,IRB
103,ITC LTD,ITC
104,JAIN IRRIGATION SYSTEMS,JISLJALEQS
105,JAIPRAKASH ASSOCIATES LTD,JPASSOCIAT
106,JET AIRWAYS (INDIA) LTD.,JETAIRWAYS
107,JINDAL STEEL & POWER LTD,JINDALSTEL
108,JSW STEEL LIMITED,JSWSTEEL
109,JUBILANT FOODWORKS LTD,JUBLFOOD
110,JUSTDIAL LTD.,JUSTDIAL
111,KAJARIA CERAMICS LIMITED,KAJARIACER
112,KARNATAKA BANK LIMITED,KTKBANK
113,KAVERI SEED CO. LTD.,KSCL
114,KOTAK MAHINDRA BANK LTD,KOTAKBANK
115,KPIT TECHNOLOGIES LTD,KPIT
116,L&T FINANCE HOLDINGS LTD,L&TFH
117,LARSEN & TOUBRO LTD.,LT
118,LIC HOUSING FINANCE LTD,LICHSGFIN
119,LUPIN LIMITED,LUPIN
120,M&M FIN. SERVICES LTD,M&MFIN
121,MAHANAGAR GAS LIMITED,MGL
122,MAHINDRA & MAHINDRA LTD,M&M
123,MANAPPURAM FINANCE LIMITED,MANAPPURAM
124,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,MRPL
125,MARICO LIMITED,MARICO
126,MARUTI SUZUKI INDIA LTD.,MARUTI
127,MAX FINANCIAL SERVICES LIMITED,MFSL
128,MINDTREE LIMITED,MINDTREE
